team_1,team_2,season,date,venue,city,toss_winner,toss_decision,player_of_match,winner,win_by_runs,win_by_wickets
Australia,Pakistan,2009/10,2010/02/05,Melbourne Cricket Ground,,Australia,bat,SW Tait,Australia,2,0
West Indies,Ireland,2010,2010/04/30,Providence Stadium,Guyana,West Indies,bat,DJG Sammy,West Indies,70,0
New Zealand,Sri Lanka,2010,2010/04/30,Providence Stadium,Guyana,Sri Lanka,bat,NL McCullum,New Zealand,0,2
Afghanistan,India,2010,2010/05/01,"""Beausejour Stadium, Gros Islet""",St Lucia,India,field,A Nehra,India,0,7
Bangladesh,Pakistan,2010,2010/05/01,"""Beausejour Stadium, Gros Islet""",St Lucia,Pakistan,bat,Salman Butt,Pakistan,21,0
India,South Africa,2010,2010/05/02,"""Beausejour Stadium, Gros Islet""",St Lucia,South Africa,field,SK Raina,India,14,0
Australia,Pakistan,2010,2010/05/02,"""Beausejour Stadium, Gros Islet""",St Lucia,Australia,bat,SR Watson,Australia,34,0
West Indies,England,2010,2010/05/03,Providence Stadium,Guyana,West Indies,field,DJG Sammy,West Indies,0,8
Afghanistan,South Africa,2010,2010/05/05,"""Kensington Oval, Bridgetown""",Barbados,Afghanistan,field,M Morkel,South Africa,59,0
Australia,Bangladesh,2010,2010/05/05,"""Kensington Oval, Bridgetown""",Barbados,Australia,bat,MEK Hussey,Australia,27,0
England,Pakistan,2010,2010/05/06,"""Kensington Oval, Bridgetown""",Barbados,England,field,KP Pietersen,England,0,6
New Zealand,South Africa,2010,2010/05/06,"""Kensington Oval, Bridgetown""",Barbados,South Africa,bat,JA Morkel,South Africa,13,0
Australia,India,2010,2010/05/07,"""Kensington Oval, Bridgetown""",Barbados,India,field,DA Warner,Australia,49,0
West Indies,Sri Lanka,2010,2010/05/07,"""Kensington Oval, Bridgetown""",Barbados,Sri Lanka,bat,DPMD Jayawardene,Sri Lanka,57,0
New Zealand,Pakistan,2010,2010/05/08,"""Kensington Oval, Bridgetown""",Barbados,Pakistan,field,IG Butler,New Zealand,1,0
England,South Africa,2010,2010/05/08,"""Kensington Oval, Bridgetown""",Barbados,England,bat,KP Pietersen,England,39,0
West Indies,India,2010,2010/05/09,"""Kensington Oval, Bridgetown""",Barbados,India,field,CH Gayle,West Indies,14,0
Australia,Sri Lanka,2010,2010/05/09,"""Kensington Oval, Bridgetown""",Barbados,Australia,bat,CL White,Australia,81,0
Pakistan,South Africa,2010,2010/05/10,"""Beausejour Stadium, Gros Islet""",St Lucia,Pakistan,bat,Umar Akmal,Pakistan,11,0
England,New Zealand,2010,2010/05/10,"""Beausejour Stadium, Gros Islet""",St Lucia,New Zealand,bat,TT Bresnan,England,0,3
India,Sri Lanka,2010,2010/05/11,"""Beausejour Stadium, Gros Islet""",St Lucia,India,bat,AD Mathews,Sri Lanka,0,5
West Indies,Australia,2010,2010/05/11,"""Beausejour Stadium, Gros Islet""",St Lucia,West Indies,bat,SPD Smith,Australia,0,6
England,Sri Lanka,2010,2010/05/13,"""Beausejour Stadium, Gros Islet""",St Lucia,Sri Lanka,bat,SCJ Broad,England,0,7
Australia,Pakistan,2010,2010/05/14,"""Beausejour Stadium, Gros Islet""",St Lucia,Australia,field,MEK Hussey,Australia,0,3
