team_1,team_2,season,date,venue,city,toss_winner,toss_decision,player_of_match,winner,win_by_runs,win_by_wickets
Australia,Sri Lanka,2016/17,2017/02/17,Melbourne Cricket Ground,,Sri Lanka,field,DAS Gunaratne,Sri Lanka,0,5
Australia,Sri Lanka,2016/17,2017/02/19,"""Simonds Stadium, South Geelong""",Victoria,Sri Lanka,field,DAS Gunaratne,Sri Lanka,0,2
Australia,Sri Lanka,2016/17,2017/02/22,Adelaide Oval,,Sri Lanka,field,A Zampa,Australia,41,0
New Zealand,Bangladesh,2016/17,2017/01/03,McLean Park,Napier,Bangladesh,bat,KS Williamson,New Zealand,0,6
New Zealand,Bangladesh,2016/17,2017/01/06,Bay Oval,Mount Maunganui,Bangladesh,field,C Munro,New Zealand,47,0
New Zealand,Bangladesh,2016/17,2017/01/08,Bay Oval,Mount Maunganui,Bangladesh,field,CJ Anderson,New Zealand,27,0
New Zealand,South Africa,2016/17,2017/02/17,Eden Park,Auckland,New Zealand,field,Imran Tahir,South Africa,78,0
England,South Africa,2017,2017/06/21,The Rose Bowl,Southampton,South Africa,bat,JM Bairstow,England,0,9
England,South Africa,2017,2017/06/23,County Ground,Taunton,England,field,CH Morris,South Africa,3,0
England,South Africa,2017,2017/06/25,Sophia Gardens,Cardiff,South Africa,field,DJ Malan,England,19,0
West Indies,England,2017,2017/09/16,Riverside Ground,Chester-le-Street,England,field,SP Narine,West Indies,21,0
India,England,2016/17,2017/01/26,Green Park,Kanpur,England,field,MM Ali,England,0,7
India,England,2016/17,2017/01/29,"""Vidarbha Cricket Association Stadium, Jamtha""",Nagpur,England,field,JJ Bumrah,India,5,0
India,England,2016/17,2017/02/01,M Chinnaswamy Stadium,Bangalore,England,field,YS Chahal,India,75,0
Afghanistan,Ireland,2016/17,2017/03/08,Greater Noida Sports Complex Ground,Greater Noida,Ireland,bat,Samiullah Shenwari,Afghanistan,0,6
Afghanistan,Ireland,2016/17,2017/03/10,Greater Noida Sports Complex Ground,Greater Noida,Afghanistan,bat,"Najeeb Tarakai, Rashid Khan",Afghanistan,17,0
Afghanistan,Ireland,2016/17,2017/03/12,Greater Noida Sports Complex Ground,Greater Noida,Ireland,field,Mohammad Nabi,Afghanistan,28,0
India,West Indies,2016,2016/08/27,Central Broward Regional Park Stadium Turf Ground,Lauderhill,India,field,E Lewis,West Indies,1,0
Pakistan,West Indies,2016/17,2016/09/23,Dubai International Cricket Stadium,,Pakistan,field,Imad Wasim,Pakistan,0,9
Pakistan,West Indies,2016/17,2016/09/24,Dubai International Cricket Stadium,,West Indies,field,Sarfraz Ahmed,Pakistan,16,0
Pakistan,West Indies,2016/17,2016/09/27,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,field,Imad Wasim,Pakistan,0,8
New Zealand,Australia,2017/18,2018/02/03,Sydney Cricket Ground,,Australia,field,B Stanlake,Australia,0,7
England,Australia,2017/18,2018/02/07,Bellerive Oval,Hobart,Australia,field,GJ Maxwell,Australia,0,5
England,Australia,2017/18,2018/02/10,Melbourne Cricket Ground,,Australia,field,KW Richardson,Australia,0,7
New Zealand,England,2017/18,2018/02/13,Westpac Stadium,Wellington,England,field,KS Williamson,New Zealand,12,0
New Zealand,Australia,2017/18,2018/02/16,Eden Park,Auckland,New Zealand,bat,DJM Short,Australia,0,5
England,New Zealand,2017/18,2018/02/18,Seddon Park,Hamilton,New Zealand,field,EJG Morgan,England,2,0
New Zealand,Australia,2017/18,2018/02/21,Eden Park,Auckland,New Zealand,bat,AC Agar,Australia,19,0
Afghanistan,Ireland,2016/17,2017/01/14,Sheikh Zayed Stadium,Abu Dhabi,Ireland,bat,Mohammad Nabi,Afghanistan,0,5
Netherlands,Oman,2016/17,2017/01/15,Sheikh Zayed Stadium,Abu Dhabi,Oman,bat,MJG Rippon,Netherlands,0,5
Netherlands,Scotland,2016/17,2017/01/17,Sheikh Zayed Stadium,Abu Dhabi,Netherlands,field,JH Davey,Scotland,7,0
Oman,Scotland,2016/17,2017/01/19,Dubai International Cricket Stadium,,Oman,bat,MH Cross,Scotland,0,7
Afghanistan,Oman,2016/17,2017/01/20,Dubai International Cricket Stadium,,Afghanistan,field,Mohammad Shahzad,Afghanistan,0,8
Ireland,Scotland,2016/17,2017/01/20,Dubai International Cricket Stadium,,Scotland,field,GC Wilson,Ireland,98,0
Afghanistan,Ireland,2016/17,2017/01/20,Dubai International Cricket Stadium,,Ireland,bat,Mohammad Nabi,Afghanistan,0,10
South Africa,Bangladesh,2017/18,2017/10/26,Mangaung Oval,Bloemfontein,South Africa,bat,AB de Villiers,South Africa,20,0
South Africa,Bangladesh,2017/18,2017/10/29,Senwes Park,Potchefstroom,Bangladesh,field,DA Miller,South Africa,83,0
West Indies,Pakistan,2017,2017/03/26,"""Kensington Oval, Bridgetown""",Barbados,Pakistan,field,Shadab Khan,Pakistan,0,6
West Indies,Pakistan,2017,2017/03/30,"""Queen's Park Oval, Port of Spain""",Trinidad,West Indies,field,Shadab Khan,Pakistan,3,0
Sri Lanka,Bangladesh,2016/17,2017/04/04,R Premadasa Stadium,Colombo,Bangladesh,bat,MDKJ Perera,Sri Lanka,0,6
Sri Lanka,Bangladesh,2016/17,2017/04/06,R Premadasa Stadium,Colombo,Bangladesh,bat,Shakib Al Hasan,Bangladesh,45,0
West Indies,Pakistan,2017,2017/04/01,"""Queen's Park Oval, Port of Spain""",Trinidad,Pakistan,bat,E Lewis,West Indies,0,7
West Indies,Pakistan,2017,2017/04/02,"""Queen's Park Oval, Port of Spain""",Trinidad,Pakistan,field,Hasan Ali,Pakistan,0,7
West Indies,Afghanistan,2017,2017/06/02,"""Warner Park, Basseterre""",St Kitts,Afghanistan,bat,SP Narine,West Indies,0,6
West Indies,Afghanistan,2017,2017/06/03,"""Warner Park, Basseterre""",St Kitts,West Indies,bat,KOK Williams,West Indies,29,0
West Indies,Afghanistan,2017,2017/06/05,"""Warner Park, Basseterre""",St Kitts,Afghanistan,bat,MN Samuels,West Indies,0,7
West Indies,India,2017,2017/07/09,"""Sabina Park, Kingston""",Jamaica,West Indies,field,E Lewis,West Indies,0,9
Sri Lanka,India,2017,2017/09/06,"""R.Premadasa Stadium, Khettarama""",Colombo,India,field,V Kohli,India,0,7
New Zealand,West Indies,2017/18,2017/12/29,Saxton Oval,Nelson,West Indies,field,GD Phillips,New Zealand,47,0
New Zealand,West Indies,2017/18,2018/01/03,Bay Oval,Mount Maunganui,New Zealand,bat,C Munro,New Zealand,119,0
Pakistan,New Zealand,2017/18,2018/01/22,Westpac Stadium,Wellington,New Zealand,field,C Munro,New Zealand,0,7
Pakistan,New Zealand,2017/18,2018/01/25,Eden Park,Auckland,Pakistan,bat,Fakhar Zaman,Pakistan,48,0
Pakistan,New Zealand,2017/18,2018/01/28,Bay Oval,Mount Maunganui,Pakistan,bat,Shadab Khan,Pakistan,18,0
Australia,India,2017/18,2017/10/07,JSCA International Stadium Complex,Ranchi,India,field,Kuldeep Yadav,India,0,9
India,Australia,2017/18,2017/10/10,Barsapara Cricket Stadium,Guwahati,Australia,field,JP Behrendorff,Australia,0,8
England,Australia,2018,2018/06/27,Edgbaston,Birmingham,Australia,field,AU Rashid,England,28,0
England,India,2018,2018/07/03,Old Trafford,Manchester,India,field,Kuldeep Yadav,India,0,8
India,England,2018,2018/07/06,Sophia Gardens,Cardiff,England,field,AD Hales,England,0,5
England,India,2018,2018/07/08,County Ground,Bristol,India,field,RG Sharma,India,0,7
India,New Zealand,2017/18,2017/11/01,Arun Jaitley Stadium,Delhi,New Zealand,field,S Dhawan,India,53,0
New Zealand,India,2017/18,2017/11/04,Saurashtra Cricket Association Stadium,Rajkot,New Zealand,bat,C Munro,New Zealand,40,0
India,New Zealand,2017/18,2017/11/07,Greenfield International Stadium,Thiruvananthapuram,New Zealand,field,JJ Bumrah,India,6,0
Sri Lanka,Pakistan,2017/18,2017/10/26,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,field,Usman Shinwari,Pakistan,0,7
Sri Lanka,Pakistan,2017/18,2017/10/27,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,field,Shadab Khan,Pakistan,0,2
Pakistan,Sri Lanka,2017/18,2017/10/29,Gaddafi Stadium,Lahore,Sri Lanka,field,Shoaib Malik,Pakistan,36,0
India,South Africa,2017/18,2018/02/18,The Wanderers Stadium,Johannesburg,South Africa,field,B Kumar,India,28,0
India,South Africa,2017/18,2018/02/21,SuperSport Park,Centurion,South Africa,field,H Klaasen,South Africa,0,6
India,South Africa,2017/18,2018/02/24,Newlands,Cape Town,South Africa,field,SK Raina,India,7,0
India,Sri Lanka,2017/18,2017/12/20,Barabati Stadium,Cuttack,Sri Lanka,field,YS Chahal,India,93,0
India,Sri Lanka,2017/18,2017/12/22,Holkar Cricket Stadium,Indore,Sri Lanka,field,RG Sharma,India,88,0
Sri Lanka,India,2017/18,2017/12/24,Wankhede Stadium,Mumbai,India,field,JD Unadkat,India,0,5
Pakistan,Scotland,2018,2018/06/12,"""Grange Cricket Club, Raeburn Place""",Edinburgh,Pakistan,bat,Sarfraz Ahmed,Pakistan,48,0
Pakistan,Scotland,2018,2018/06/13,"""Grange Cricket Club, Raeburn Place""",Edinburgh,Pakistan,bat,Usman Shinwari,Pakistan,84,0
Bangladesh,Sri Lanka,2017/18,2018/02/15,"""Shere Bangla National Stadium, Mirpur""",Dhaka,Bangladesh,bat,BKG Mendis,Sri Lanka,0,6
Sri Lanka,Bangladesh,2017/18,2018/02/18,Sylhet International Cricket Stadium,,Bangladesh,field,BKG Mendis,Sri Lanka,75,0
India,Sri Lanka,2017/18,2018/03/06,"""R.Premadasa Stadium, Khettarama""",Colombo,Sri Lanka,field,MDKJ Perera,Sri Lanka,0,5
Bangladesh,India,2017/18,2018/03/08,"""R.Premadasa Stadium, Khettarama""",Colombo,India,field,V Shankar,India,0,6
Sri Lanka,Bangladesh,2017/18,2018/03/10,"""R.Premadasa Stadium, Khettarama""",Colombo,Bangladesh,field,Mushfiqur Rahim,Bangladesh,0,5
Sri Lanka,India,2017/18,2018/03/12,"""R.Premadasa Stadium, Khettarama""",Colombo,India,field,SN Thakur,India,0,6
India,Bangladesh,2017/18,2018/03/14,"""R.Premadasa Stadium, Khettarama""",Colombo,Bangladesh,field,RG Sharma,India,17,0
Sri Lanka,Bangladesh,2017/18,2018/03/16,"""R.Premadasa Stadium, Khettarama""",Colombo,Bangladesh,field,Mahmudullah,Bangladesh,0,2
Bangladesh,India,2017/18,2018/03/18,"""R.Premadasa Stadium, Khettarama""",Colombo,India,field,KD Karthik,India,0,4
Pakistan,West Indies,2018,2018/04/01,National Stadium,Karachi,West Indies,field,Hussain Talat,Pakistan,143,0
Pakistan,West Indies,2018,2018/04/02,National Stadium,Karachi,Pakistan,bat,Babar Azam,Pakistan,82,0
West Indies,Pakistan,2018,2018/04/03,National Stadium,Karachi,West Indies,bat,Fakhar Zaman,Pakistan,0,8
England,Sri Lanka,2018/19,2018/10/27,"""R.Premadasa Stadium, Khettarama""",Colombo,Sri Lanka,field,JL Denly,England,30,0
India,Ireland,2018,2018/06/27,"""The Village, Malahide""",Dublin,Ireland,field,Kuldeep Yadav,India,76,0
India,Ireland,2018,2018/06/29,"""The Village, Malahide""",Dublin,Ireland,field,KL Rahul,India,143,0
Netherlands,Ireland,2018,2018/06/12,Hazelaarweg,Rotterdam,Ireland,field,Unknown,Netherlands,4,0
Ireland,Netherlands,2018,2018/06/13,Hazelaarweg,Rotterdam,Ireland,bat,Unknown,Netherlands,0,4
Ireland,Scotland,2018,2018/06/16,Sportpark Het Schootsveld,Deventer,Ireland,bat,Unknown,Ireland,46,0
Netherlands,Scotland,2018,2018/06/19,VRA Ground,Amstelveen,Netherlands,bat,Unknown,Scotland,0,7
Scotland,Netherlands,2018,2018/06/20,VRA Ground,Amstelveen,Scotland,bat,Unknown,Scotland,115,0
South Africa,Sri Lanka,2018,2018/08/14,"""R.Premadasa Stadium, Khettarama""",Colombo,South Africa,bat,DM de Silva,Sri Lanka,0,3
Pakistan,Australia,2018,2018/07/02,Harare Sports Club,,Australia,field,B Stanlake,Australia,0,9
Pakistan,Australia,2018,2018/07/05,Harare Sports Club,,Australia,field,Fakhar Zaman,Pakistan,45,0
Australia,Pakistan,2018,2018/07/08,Harare Sports Club,,Australia,bat,Fakhar Zaman,Pakistan,0,6
South Africa,Pakistan,2018/19,2019/02/01,Newlands,Cape Town,Pakistan,field,DA Miller,South Africa,6,0
South Africa,Pakistan,2018/19,2019/02/03,The Wanderers Stadium,Johannesburg,Pakistan,field,DA Miller,South Africa,7,0
South Africa,Pakistan,2018/19,2019/02/06,SuperSport Park,Centurion,South Africa,field,Shadab Khan,Pakistan,27,0
South Africa,Sri Lanka,2018/19,2019/03/22,SuperSport Park,Centurion,Sri Lanka,field,HE van der Dussen,South Africa,16,0
South Africa,Sri Lanka,2018/19,2019/03/24,The Wanderers Stadium,Johannesburg,Sri Lanka,field,D Pretorius,South Africa,45,0
South Africa,Australia,2018/19,2018/11/17,Carrara Oval,,Australia,field,T Shamsi,South Africa,21,0
Australia,India,2018/19,2018/11/21,"""Brisbane Cricket Ground, Woolloongabba""",Brisbane,India,field,A Zampa,Australia,4,0
Australia,India,2018/19,2018/11/25,Sydney Cricket Ground,,Australia,bat,KH Pandya,India,0,6
Afghanistan,Bangladesh,2018,2018/06/03,"""Rajiv Gandhi International Cricket Stadium, Dehradun""",Dehra Dun,Bangladesh,field,Rashid Khan,Afghanistan,45,0
Bangladesh,Afghanistan,2018,2018/06/05,Rajiv Gandhi International Cricket Stadium,Dehradun,Bangladesh,bat,Rashid Khan,Afghanistan,0,6
Afghanistan,Bangladesh,2018,2018/06/07,Rajiv Gandhi International Cricket Stadium,Dehradun,Afghanistan,bat,Mushfiqur Rahim,Afghanistan,1,0
Bangladesh,West Indies,2018,2018/07/31,"""Warner Park, Basseterre""",St Kitts,West Indies,field,AD Russell,West Indies,0,7
Bangladesh,West Indies,2018,2018/08/04,Central Broward Regional Park Stadium Turf Ground,Lauderhill,West Indies,field,Tamim Iqbal,Bangladesh,12,0
Bangladesh,West Indies,2018,2018/08/05,Central Broward Regional Park Stadium Turf Ground,Lauderhill,Bangladesh,bat,Liton Das,Bangladesh,19,0
Afghanistan,Ireland,2018,2018/08/20,"""Bready Cricket Club, Magheramason""",Bready,Ireland,field,Unknown,Afghanistan,16,0
Afghanistan,Ireland,2018,2018/08/22,"""Bready Cricket Club, Magheramason""",Bready,Afghanistan,bat,Unknown,Afghanistan,81,0
England,Pakistan,2019,2019/05/05,Sophia Gardens,Cardiff,Pakistan,bat,EJG Morgan,England,0,7
Bangladesh,West Indies,2018/19,2018/12/17,Sylhet International Cricket Stadium,Sylhet,Bangladesh,bat,SS Cottrell,West Indies,0,8
Bangladesh,West Indies,2018/19,2018/12/20,"""Shere Bangla National Stadium, Mirpur""",Dhaka,West Indies,field,Shakib Al Hasan,Bangladesh,36,0
Bangladesh,West Indies,2018/19,2018/12/22,"""Shere Bangla National Stadium, Mirpur""",Dhaka,Bangladesh,field,E Lewis,West Indies,50,0
New Zealand,India,2018/19,2019/02/06,Westpac Stadium,Wellington,India,field,TL Seifert,New Zealand,80,0
New Zealand,India,2018/19,2019/02/08,Eden Park,Auckland,New Zealand,bat,KH Pandya,India,0,7
New Zealand,India,2018/19,2019/02/10,Seddon Park,Hamilton,India,field,C Munro,New Zealand,4,0
New Zealand,Sri Lanka,2018/19,2019/01/11,Eden Park,Auckland,Sri Lanka,field,DAJ Bracewell,New Zealand,35,0
Pakistan,Australia,2018/19,2018/10/24,Sheikh Zayed Stadium,Abu Dhabi,Australia,field,Imad Wasim,Pakistan,66,0
Pakistan,Australia,2018/19,2018/10/26,Dubai International Cricket Stadium,,Pakistan,bat,Imad Wasim,Pakistan,11,0
Pakistan,Australia,2018/19,2018/10/28,Dubai International Cricket Stadium,,Pakistan,bat,Shadab Khan,Pakistan,33,0
Pakistan,New Zealand,2018/19,2018/10/31,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,bat,Mohammad Hafeez,Pakistan,2,0
New Zealand,Pakistan,2018/19,2018/11/02,Dubai International Cricket Stadium,,New Zealand,bat,Shaheen Shah Afridi,Pakistan,0,6
Pakistan,New Zealand,2018/19,2018/11/04,Dubai International Cricket Stadium,,Pakistan,bat,Babar Azam,Pakistan,47,0
West Indies,India,2018/19,2018/11/04,Eden Gardens,Kolkata,India,field,Kuldeep Yadav,India,0,5
India,West Indies,2018/19,2018/11/06,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,West Indies,field,RG Sharma,India,71,0
West Indies,India,2018/19,2018/11/11,"""MA Chidambaram Stadium, Chepauk""",Chennai,West Indies,bat,S Dhawan,India,0,6
West Indies,England,2018/19,2019/03/05,"""Darren Sammy National Cricket Stadium, St Lucia""",Gros Islet,England,field,JM Bairstow,England,0,4
West Indies,England,2018/19,2019/03/08,"""Warner Park, St Kitts""",Basseterre,West Indies,field,SW Billings,England,137,0
West Indies,England,2018/19,2019/03/10,"""Warner Park, St Kitts""",Basseterre,West Indies,bat,DJ Willey,England,0,8
Afghanistan,Ireland,2018/19,2019/02/21,"""Rajiv Gandhi International Cricket Stadium, Dehradun""",Dehra Dun,Ireland,bat,Mohammad Nabi,Afghanistan,0,5
Afghanistan,Ireland,2018/19,2019/02/23,"""Rajiv Gandhi International Cricket Stadium, Dehradun""",Dehra Dun,Afghanistan,bat,Hazratullah,Afghanistan,84,0
Afghanistan,Ireland,2018/19,2019/02/24,"""Rajiv Gandhi International Cricket Stadium, Dehradun""",Dehra Dun,Ireland,field,Mohammad Nabi,Afghanistan,32,0
India,Australia,2018/19,2019/02/24,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Australia,field,NM Coulter-Nile,Australia,0,3
India,Australia,2018/19,2019/02/27,M.Chinnaswamy Stadium,Bengaluru,Australia,field,GJ Maxwell,Australia,0,7
Netherlands,Scotland,2018/19,2019/02/13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Netherlands,field,TP Visee,Netherlands,0,7
Oman,Ireland,2018/19,2019/02/13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,field,PR Stirling,Ireland,15,0
Oman,Netherlands,2018/19,2019/02/15,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Netherlands,field,RE van der Merwe,Netherlands,0,8
Ireland,Scotland,2018/19,2019/02/15,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Scotland,field,KJ Coetzer,Scotland,0,6
Ireland,Netherlands,2018/19,2019/02/17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Ireland,field,A Balbirnie,Ireland,0,1
Oman,Scotland,2018/19,2019/02/17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Scotland,field,A Neill,Scotland,0,7
Australia,Sri Lanka,2019/20,2019/10/27,Adelaide Oval,Adelaide,Sri Lanka,field,DA Warner,Australia,134,0
Australia,Sri Lanka,2019/20,2019/10/30,"""Brisbane Cricket Ground, Woolloongabba""",Brisbane,Sri Lanka,bat,DA Warner,Australia,0,9
Australia,Sri Lanka,2019/20,2019/11/01,Melbourne Cricket Ground,Melbourne,Australia,field,DA Warner,Australia,0,7
Australia,Pakistan,2019/20,2019/11/05,Manuka Oval,Canberra,Pakistan,bat,SPD Smith,Australia,0,7
Australia,Pakistan,2019/20,2019/11/08,Perth Stadium,Perth,Australia,field,SA Abbott,Australia,0,10
Uganda,Namibia,2019,2019/05/21,Kyambogo Cricket Oval,Kampala,Namibia,bat,K Birkenstock,Namibia,42,0
South Africa,England,2019/20,2020/02/12,Buffalo Park,East London,England,field,L Ngidi,South Africa,1,0
South Africa,England,2019/20,2020/02/14,Kingsmead,Durban,South Africa,field,MM Ali,England,2,0
South Africa,England,2019/20,2020/02/16,SuperSport Park,Centurion,South Africa,bat,EJG Morgan,England,0,5
South Africa,Australia,2019/20,2020/02/21,The Wanderers Stadium,Johannesburg,South Africa,field,AC Agar,Australia,107,0
South Africa,Australia,2019/20,2020/02/23,St George's Park,Port Elizabeth,South Africa,bat,Q de Kock,South Africa,12,0
South Africa,Australia,2019/20,2020/02/26,Newlands,Cape Town,South Africa,field,MA Starc,Australia,97,0
India,South Africa,2019/20,2019/09/18,"""Punjab Cricket Association IS Bindra Stadium, Mohali""",Chandigarh,India,field,V Kohli,India,0,7
India,South Africa,2019/20,2019/09/22,M.Chinnaswamy Stadium,Bengaluru,India,bat,BE Hendricks,South Africa,0,9
India,Bangladesh,2019/20,2019/11/03,Arun Jaitley Stadium,Delhi,Bangladesh,field,Mushfiqur Rahim,Bangladesh,0,7
India,Bangladesh,2019/20,2019/11/07,Saurashtra Cricket Association Stadium,Rajkot,India,field,RG Sharma,India,0,8
India,Bangladesh,2019/20,2019/11/10,"""Vidarbha Cricket Association Stadium, Jamtha""",Nagpur,Bangladesh,field,DL Chahar,India,30,0
India,West Indies,2019/20,2019/12/06,"""Rajiv Gandhi International Stadium, Uppal""",Hyderabad,India,field,V Kohli,India,0,6
India,West Indies,2019/20,2019/12/08,Greenfield International Stadium,Thiruvananthapuram,West Indies,field,LMP Simmons,West Indies,0,8
India,West Indies,2019/20,2019/12/11,Wankhede Stadium,Mumbai,West Indies,field,KL Rahul,India,67,0
New Zealand,England,2019/20,2019/11/01,Hagley Oval,Christchurch,England,field,JM Vince,England,0,7
New Zealand,England,2019/20,2019/11/03,Westpac Stadium,Wellington,England,field,MJ Santner,New Zealand,21,0
New Zealand,England,2019/20,2019/11/05,Saxton Oval,Nelson,New Zealand,bat,C de Grandhomme,New Zealand,14,0
New Zealand,England,2019/20,2019/11/08,McLean Park,Napier,New Zealand,field,DJ Malan,England,76,0
New Zealand,India,2019/20,2020/01/24,Eden Park,Auckland,India,field,SS Iyer,India,0,6
New Zealand,India,2019/20,2020/01/26,Eden Park,Auckland,New Zealand,bat,KL Rahul,India,0,7
New Zealand,India,2019/20,2020/02/02,Bay Oval,Mount Maunganui,India,bat,JJ Bumrah,India,7,0
India,West Indies,2019,2019/08/03,Central Broward Regional Park Stadium Turf Ground,Lauderhill,India,field,NA Saini,India,0,4
India,West Indies,2019,2019/08/04,Central Broward Regional Park Stadium Turf Ground,Lauderhill,India,bat,KH Pandya,India,22,0
West Indies,India,2019,2019/08/06,"""Providence Stadium, Guyana""",Providence,India,field,DL Chahar,India,0,7
Sri Lanka,New Zealand,2019,2019/09/01,Pallekele International Cricket Stadium,Kandy,Sri Lanka,bat,LRPL Taylor,New Zealand,0,5
Sri Lanka,New Zealand,2019,2019/09/03,Pallekele International Cricket Stadium,Kandy,Sri Lanka,bat,TG Southee,New Zealand,0,4
Sri Lanka,New Zealand,2019,2019/09/06,Pallekele International Cricket Stadium,Kandy,Sri Lanka,bat,SL Malinga,Sri Lanka,37,0
Afghanistan,West Indies,2019/20,2019/11/14,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Afghanistan,field,KA Pollard,West Indies,30,0
Afghanistan,West Indies,2019/20,2019/11/16,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Afghanistan,bat,Karim Janat,Afghanistan,41,0
Afghanistan,West Indies,2019/20,2019/11/17,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Afghanistan,bat,Rahmanullah Gurbaz,Afghanistan,29,0
Bangladesh,Afghanistan,2019,2019/09/15,"""Shere Bangla National Stadium, Mirpur""",Dhaka,Afghanistan,bat,Mohammad Nabi,Afghanistan,25,0
Bangladesh,Afghanistan,2019,2019/09/21,Zahur Ahmed Chowdhury Stadium,Chattogram,Bangladesh,field,Shakib Al Hasan,Bangladesh,0,4
Ireland,Netherlands,2019/20,2019/10/05,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Ireland,field,Unknown,Ireland,0,6
Oman,Ireland,2019/20,2019/10/06,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Ireland,field,Unknown,Oman,43,0
Nepal,Netherlands,2019/20,2019/10/07,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Nepal,field,Unknown,Nepal,0,4
Ireland,Nepal,2019/20,2019/10/09,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Ireland,bat,Unknown,Ireland,13,0
Oman,Netherlands,2019/20,2019/10/09,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Netherlands,bat,Unknown,Oman,0,7
Oman,Nepal,2019/20,2019/10/10,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,field,Unknown,Oman,0,6
England,Australia,2020,2020/09/04,The Rose Bowl,Southampton,Australia,field,DJ Malan,England,2,0
Australia,England,2020,2020/09/06,The Rose Bowl,Southampton,Australia,bat,JC Buttler,England,0,6
England,Australia,2020,2020/09/08,The Rose Bowl,Southampton,Australia,field,MR Marsh,Australia,0,5
Pakistan,England,2020,2020/08/30,Old Trafford,Manchester,England,field,EJG Morgan,England,0,5
Pakistan,England,2020,2020/09/01,Old Trafford,Manchester,England,field,Mohammad Hafeez,Pakistan,5,0
Pakistan,Sri Lanka,2019/20,2019/10/05,Gaddafi Stadium,Lahore,Pakistan,field,MD Gunathilaka,Sri Lanka,64,0
Pakistan,Sri Lanka,2019/20,2019/10/07,Gaddafi Stadium,Lahore,Sri Lanka,bat,PBB Rajapaksa,Sri Lanka,35,0
Pakistan,Sri Lanka,2019/20,2019/10/09,Gaddafi Stadium,Lahore,Sri Lanka,bat,PWH de Silva,Sri Lanka,13,0
Namibia,Netherlands,2019/20,2019/10/19,ICC Academy,Dubai,Netherlands,bat,RN ten Doeschate,Netherlands,44,0
Namibia,Papua New Guinea,2019/20,2019/10/20,ICC Academy Ground No 2,Dubai,Papua New Guinea,bat,A Vala,Papua New Guinea,81,0
Papua New Guinea,Scotland,2019/20,2019/10/21,ICC Academy,Dubai,Scotland,bat,Hamza Tahir,Scotland,4,0
Ireland,Oman,2019/20,2019/10/21,Tolerance Oval,Abu Dhabi,Oman,field,GJ Delany,Ireland,35,0
Namibia,Scotland,2019/20,2019/10/22,ICC Academy,Dubai,Namibia,bat,JJ Smit,Namibia,24,0
Canada,Ireland,2019/20,2019/10/23,Sheikh Zayed Stadium,Abu Dhabi,Canada,bat,NR Kumar,Canada,10,0
Netherlands,Papua New Guinea,2019/20,2019/10/24,ICC Academy,Dubai,Netherlands,bat,Unknown,Papua New Guinea,0,5
Canada,Oman,2019/20,2019/10/25,Sheikh Zayed Stadium,Abu Dhabi,Canada,bat,Jatinder Singh,Oman,0,8
Netherlands,Scotland,2019/20,2019/10/27,Dubai International Cricket Stadium,Dubai,Netherlands,field,PM Seelaar,Netherlands,0,4
Namibia,Oman,2019/20,2019/10/29,Dubai International Cricket Stadium,Dubai,Namibia,bat,JJ Smit,Namibia,54,0
Oman,Scotland,2019/20,2019/10/31,ICC Academy,Dubai,Oman,bat,MH Cross,Scotland,0,5
Ireland,Netherlands,2019/20,2019/11/01,Dubai International Cricket Stadium,Dubai,Ireland,field,RE van der Merwe,Netherlands,21,0
Namibia,Papua New Guinea,2019/20,2019/11/01,Dubai International Cricket Stadium,Dubai,Papua New Guinea,bat,N Vanua,Papua New Guinea,18,0
Ireland,Namibia,2019/20,2019/11/02,Dubai International Cricket Stadium,Dubai,Ireland,bat,Simi Singh,Ireland,27,0
Netherlands,Papua New Guinea,2019/20,2019/11/02,Dubai International Cricket Stadium,Dubai,Papua New Guinea,bat,BD Glover,Netherlands,0,7
